"","DateTimeUTC","Lat","Long","lc"
"92",2014-08-29 13:50:49,33.18202972,-117.46803284,3
"93",2014-08-29 14:06:09,33.18623352,-117.46815491,3
"94",2014-08-29 14:18:20,33.19070053,-117.47536469,3
"95",2014-08-29 14:36:07,33.19569016,-117.48223114,3
"96",2014-08-29 14:58:00,33.20284271,-117.48548889,3
"97",2014-08-29 15:30:06,33.19339752,-117.48382568,3
"98",2014-08-29 15:57:45,33.19702911,-117.49069977,3
"99",2014-08-29 16:41:04,33.19180679,-117.47560883,3
"100",2014-08-29 17:05:57,33.19031525,-117.47421265,3
"102",2014-08-29 17:30:08,33.18700027,-117.47026825,3
"103",2014-08-29 18:27:58,33.17895508,-117.47079468,3
"104",2014-08-29 19:14:48,33.16851044,-117.43429565,3
"105",2014-08-29 20:11:11,33.13866043,-117.40276337,3
"106",2014-08-29 21:09:27,33.10653687,-117.36668396,3
"107",2014-08-29 21:23:20,33.09651184,-117.36967468,3
"108",2014-08-29 22:14:45,33.05289841,-117.35352325,3
"109",2014-08-29 23:34:13,32.99259567,-117.30606079,3
"110",2014-08-29 23:58:34,32.97117996,-117.29934692,3
"111",2014-08-30 00:12:56,32.95861435,-117.29547882,3
"112",2014-08-30 01:23:55,32.89329529,-117.28238678,3
"113",2014-08-30 02:43:01,32.82430649,-117.28325653,3
"114",2014-08-30 03:02:46,32.81871796,-117.30779266,3
"115",2014-08-30 03:30:07,32.799366,-117.30921173,3
"116",2014-08-30 03:38:54,32.79412842,-117.3062439,3
"117",2014-08-30 03:47:49,32.78895569,-117.30271149,3
"118",2014-08-30 04:05:33,32.77954483,-117.29347992,3
"119",2014-08-30 04:11:41,32.77606201,-117.29130554,3
"120",2014-08-30 06:00:45,32.71897125,-117.28395081,3
"121",2014-08-30 06:46:05,32.69411469,-117.27697754,3
"122",2014-08-30 10:44:38,32.57935715,-117.30413055,3
"123",2014-08-30 11:26:04,32.58137512,-117.29077911,3
"124",2014-08-30 11:38:04,32.5831337,-117.29149628,3
"125",2014-08-30 11:46:57,32.58573914,-117.29154205,3
"126",2014-08-30 12:01:12,32.58956528,-117.2960434,3
"127",2014-08-30 13:03:34,32.59730148,-117.34141541,3
"128",2014-08-30 13:23:48,32.59174347,-117.35449219,3
"129",2014-08-30 13:59:25,32.58589554,-117.3344574,3
"130",2014-08-30 14:02:02,32.58401489,-117.33399963,3
"131",2014-08-30 14:19:54,32.57992172,-117.33531952,3
"132",2014-08-30 14:38:10,32.57977295,-117.3309021,3
"133",2014-08-30 14:56:00,32.58311081,-117.32722473,3
"134",2014-08-30 15:09:07,32.57729721,-117.32180786,3
"135",2014-08-30 15:35:34,32.55147171,-117.32237244,3
"136",2014-08-30 15:47:03,32.5412178,-117.32807159,3
"137",2014-08-30 15:56:15,32.53695679,-117.32662964,3
"138",2014-08-30 16:15:14,32.5165062,-117.3363266,3
"139",2014-08-30 16:20:45,32.51171875,-117.33709717,3
"140",2014-08-30 16:36:45,32.50082016,-117.3401947,3
"141",2014-08-30 16:49:59,32.49022675,-117.33811951,3
"142",2014-08-30 17:10:47,32.48038864,-117.33470917,3
"143",2014-08-30 17:26:05,32.48440933,-117.3327713,3
"144",2014-08-30 17:40:54,32.48101044,-117.33033752,3
"145",2014-08-30 17:53:19,32.47912598,-117.32764435,3
"146",2014-08-30 18:20:53,32.47432327,-117.32997131,3
"147",2014-08-30 18:31:34,32.47550201,-117.33017731,3
"148",2014-08-30 19:08:06,32.48302078,-117.33193207,3
"149",2014-08-30 19:30:48,32.47996521,-117.33804321,3
"150",2014-08-30 19:53:04,32.48387146,-117.34275818,3
"151",2014-08-30 20:51:58,32.48728943,-117.34442139,3
"152",2014-08-30 21:22:57,32.48732376,-117.33943176,3
"153",2014-08-30 21:34:04,32.48153305,-117.33685303,3
"154",2014-08-30 21:43:21,32.48034668,-117.33461761,3
"155",2014-08-30 21:47:25,32.47890854,-117.33335876,3
"156",2014-08-30 22:04:55,32.47367859,-117.33419037,3
"157",2014-08-30 22:46:03,32.45963287,-117.33605194,3
"158",2014-08-30 23:04:13,32.4580307,-117.33163452,3
"159",2014-08-30 23:39:56,32.44161224,-117.33450317,3
"160",2014-08-30 23:48:54,32.4408493,-117.33701324,3
"161",2014-08-30 23:52:54,32.43994904,-117.3376236,3
"162",2014-08-30 23:59:25,32.44105148,-117.33929443,3
"163",2014-08-31 00:44:10,32.42690659,-117.3314209,3
"164",2014-08-31 01:14:13,32.41913223,-117.31652832,3
"165",2014-08-31 02:05:15,32.39926147,-117.30471039,3
"166",2014-08-31 02:49:45,32.38869476,-117.27058411,3
"167",2014-08-31 02:55:15,32.39159012,-117.26769257,3
"168",2014-08-31 03:05:55,32.38699722,-117.25933075,3
"169",2014-08-31 03:45:04,32.38088226,-117.24384308,3
"170",2014-08-31 04:05:35,32.37373352,-117.23557281,3
"171",2014-08-31 04:16:40,32.35855865,-117.22914886,3
"172",2014-08-31 06:03:13,32.34778214,-117.21585083,3
"173",2014-08-31 06:29:21,32.34399796,-117.20764923,3
"174",2014-08-31 07:45:31,32.32171249,-117.20491791,3
"175",2014-08-31 07:54:30,32.3241806,-117.20412445,3
"176",2014-08-31 08:18:41,32.32039261,-117.20044708,3
"177",2014-08-31 08:36:36,32.32777786,-117.20004272,3
"178",2014-08-31 08:48:35,32.33315277,-117.20349121,3
"179",2014-08-31 09:05:21,32.3372879,-117.21125031,3
"180",2014-08-31 09:28:28,32.33454895,-117.2246933,3
"181",2014-08-31 10:55:02,32.34290695,-117.26165009,3
"182",2014-08-31 11:18:39,32.34722519,-117.25525665,3
"184",2014-08-31 11:32:12,32.35399628,-117.25358582,3
"185",2014-08-31 11:40:44,32.35574722,-117.25546265,3
"186",2014-08-31 11:56:05,32.36078644,-117.24940491,3
"187",2014-08-31 12:13:44,32.36963272,-117.25104523,3
"188",2014-08-31 12:21:45,32.3723526,-117.25443268,3
"189",2014-08-31 12:48:52,32.36484146,-117.25725555,3
"190",2014-08-31 13:06:44,32.36783218,-117.24656677,3
"191",2014-08-31 13:16:29,32.36081696,-117.24318695,3
"192",2014-08-31 13:23:53,32.3632431,-117.23963165,3
"193",2014-08-31 14:00:47,32.35236359,-117.2543335,3
"194",2014-08-31 14:12:00,32.35339355,-117.26461792,3
"195",2014-08-31 14:37:50,32.35204697,-117.28469849,3
"196",2014-08-31 14:56:47,32.33990479,-117.28662109,3
"197",2014-08-31 15:15:09,32.33205795,-117.27684021,3
"198",2014-08-31 15:27:57,32.32810211,-117.27562714,3
"199",2014-08-31 15:29:58,32.32788086,-117.27223206,3
"200",2014-08-31 15:39:04,32.32024765,-117.26235962,3
"201",2014-08-31 16:27:46,32.35836029,-117.21915436,3
"202",2014-08-31 16:35:03,32.35093307,-117.22040558,3
"203",2014-08-31 17:19:54,32.37889481,-117.25269318,3
"204",2014-08-31 17:28:49,32.3862915,-117.25748444,3
"205",2014-08-31 17:47:56,32.38909531,-117.26189423,3
"206",2014-08-31 17:49:47,32.3893013,-117.26161194,3
"207",2014-08-31 17:52:23,32.38732147,-117.26277924,3
"208",2014-08-31 18:32:44,32.39138031,-117.26702881,3
"209",2014-08-31 19:52:00,32.39305496,-117.27541351,3
"210",2014-08-31 20:32:59,32.41301727,-117.28150177,3
"211",2014-08-31 20:39:22,32.41340637,-117.27534485,3
"212",2014-08-31 20:47:54,32.41508102,-117.27304077,3
"213",2014-08-31 20:56:24,32.41546249,-117.27052307,3
"214",2014-08-31 21:19:28,32.41904449,-117.27751923,3
"215",2014-08-31 21:29:56,32.4187851,-117.28121948,3
